page,date,operation,name,isin,quantity,price,currency
60,2024-11-26,BUY,XtrackersAI&BigDataUCITSETF,IE00BGV5VN51,3.0,127.21,EUR
60,2025-03-20,SELL,D-WaveQuantumInc.,,19.0,9.2,USD
61,2024-11-26,SELL,XPengInc.-ADR,,4.0,22.3,USD
62,2024-11-26,BUY,TeslaInc.,US88160R1014,1.0,247.01,USD
62,2024-11-26,BUY,EutelsatCommunications,FR0010221234,10.0,6.42,EUR
62,2025-03-10,BUY,BroadcomInc.,US11135F1012,1.0,189.68,USD
63,2024-11-26,BUY,IntelCorp.,US4581401001,10.0,20.21,USD
63,2024-11-26,BUY,QuantumComputingInc,US74766W1080,20.0,4.89,USD
63,2024-11-26,BUY,RealbotixCorp,CA75604K1075,300.0,0.38,CAD
64,2024-11-26,BUY,UnitedStatesAntimonyCorp.,US9115491030,80.0,1.42,USD
64,2024-11-26,DEPOSIT,Cash Deposit,,1.0,1000.0,EUR
64,2025-03-03,BUY,Leonardo,IT0003856405,2.0,43.27,EUR
65,2024-11-26,BUY,CanopyGrowthCorp.,CA1380357048,50.0,2.02,CAD
65,2024-11-26,BUY,NVIDIACorp.,US67066G1040,2.0,117.94,USD
65,2025-02-27,BUY,KULRTechnologyGroupInc,US50125G3074,70.0,1.57,USD
66,2024-11-26,BUY,RealbotixCorp,CA75604K1075,300.0,0.41,CAD
66,2024-11-26,BUY,PalantirTechnologiesInc.,US69608A1088,3.0,88.7,USD
66,2025-02-25,BUY,DynatraceInc.,US2681501092,3.0,58.58,USD
67,2024-11-26,BUY,Amazon.comInc.,US0231351067,2.0,212.94,USD
67,2024-11-26,BUY,DatadogInc.,US23804L1035,1.0,115.4,USD
67,2025-02-24,DEPOSIT,Cash Deposit,,1.0,1500.0,EUR
68,2024-11-26,BUY,NVIDIACorp.,US67066G1040,1.0,127.47,USD
69,2024-11-26,BUY,PDDHoldingsInc-ADR,US7223041028,2.0,108.0,USD
69,2025-01-20,BUY,RealbotixCorp,CA75604K1075,500.0,0.43,CAD
70,2024-11-26,BUY,CanopyGrowthCorp.,CA1380357048,45.0,3.23,CAD
70,2024-11-26,BUY,XPengInc.-ADR,US98422D1054,5.0,12.68,USD
70,2025-01-13,BUY,RealbotixCorp,CA75604K1075,1000.0,0.65,CAD
71,2024-11-26,SELL,RealbotixCorp,CA75604K1075,1000.0,0.53,CAD
71,2024-11-26,BUY,NVIDIACorp.,US67066G1040,2.0,132.11,USD
71,2025-01-10,BUY,RealbotixCorp,CA75604K1075,1000.0,0.36,CAD
72,2024-11-26,BUY,D-WaveQuantumInc.,US26740W1099,20.0,6.32,USD
72,2025-01-09,BUY,OculusInc.,US67575Y1091,1500.0,0.09,CAD
72,2025-01-08,SELL,D-WaveQuantumInc.,US26740W1099,22.0,6.33,USD
73,2024-11-26,BUY,PayPalHoldingsInc.,US70450Y1038,3.0,89.53,USD
73,2024-11-26,BUY,OculusInc.,US67575Y1091,3500.0,0.12,CAD
73,2024-11-26,DEPOSIT,Cash Deposit,,1.0,2000.0,EUR
74,2024-11-26,BUY,NVIDIACorp.,US67066G1040,2.0,148.66,USD
74,2024-11-26,BUY,MicrosoftCorp.,US5949181045,1.0,428.06,USD
75,2024-11-26,BUY,NioInc.-ADR,US62914V1061,20.0,4.82,USD
75,2024-11-26,BUY,NovoNordiskBA/S,DK0062498333,2.0,631.5,DKK
75,2024-12-24,DEPOSIT,Cash Deposit,,1.0,1000.0,EUR
76,2024-12-23,BUY,D-WaveQuantumInc.,US26740W1099,20.0,7.6,USD
76,2024-12-23,BUY,NVIDIACorp.,US67066G1040,2.0,136.25,USD
76,2024-12-23,BUY,QuantumComputingInc,US74766W1080,10.0,17.49,USD
77,2024-11-26,BUY,DatadogInc.,US23804L1035,1.0,149.43,USD
77,2024-11-26,BUY,BroadcomInc.,US11135F1012,2.0,232.47,USD
77,2024-12-19,SELL,QuantumComputingInc,,19.0,21.26,USD
78,2024-11-26,SELL,D-WaveQuantumInc.,,38.0,8.21,USD
78,2024-11-26,SELL,StrategyInc.,US5949724083,1.0,328.85,USD
78,2024-12-18,BUY,OracleCorp.,US68389X1054,2.0,169.53,USD
79,2024-12-16,BUY,QuantumComputingInc,US74766W1080,20.0,11.1,USD
79,2024-12-13,BUY,D-WaveQuantumInc.,US26740W1099,40.0,4.1,USD
79,2024-12-10,BUY,StrategyInc.,US5949724083,1.0,362.0,USD
80,2024-12-09,SELL,D-WaveQuantumInc.,,155.0,4.8,USD
80,2024-12-06,DEPOSIT,Cash Deposit,,1.0,1000.0,EUR
80,2024-12-06,BUY,QuantumScapeCorp.,US74767V1098,20.0,4.93,USD
81,2024-11-26,BUY,D-WaveQuantumInc.,US26740W1099,65.0,3.98,USD
81,2024-12-04,BUY,D-WaveQuantumInc.,US26740W1099,40.0,3.11,USD
81,2024-12-04,BUY,D-WaveQuantumInc.,US26740W1099,50.0,3.07,USD
82,2024-11-26,BUY,JobyAviationIncorporation,KYG651631007,20.0,8.97,USD
82,2024-11-26,BUY,**SeeWMT:xnas(WalmartInc.),US9311421039,3.0,92.82,USD
82,2024-11-28,BUY,Webuild,IT0003865570,100.0,2.65,EUR
83,2024-11-26,DEPOSIT,Cash Deposit,,1.0,1000.0,EUR
