BROKER             | ASSET      | TICKER               | ISIN           |          QTY
SCALABLE_CAPITAL   | STOCK      | IS MSCI BRAZ.U.ETF U | IE00B0M63516   |     3.000000
SCALABLE_CAPITAL   | STOCK      | ISHSII-MSCI TURKEY D | IE00B1FZS574   |     3.000000
SCALABLE_CAPITAL   | STOCK      | ISHSV-S+P500ENER.SEC | IE00B42NKQ00   |    10.000000
SCALABLE_CAPITAL   | STOCK      | NOVO-NORDISK AS B DK | DK0062498333   |    -3.000000
SCALABLE_CAPITAL   | STOCK      | NVIDIA CORP. DL-,001 | US67066G1040   |    12.000000
SCALABLE_CAPITAL   | STOCK      | RIVIAN AUTOMOT.A DL- | US76954A1034   |     5.000000
SCALABLE_CAPITAL   | STOCK      | TENCENT HLDGS HD-,00 | KYG875721634   |    13.000000
SCALABLE_CAPITAL   | STOCK      | TESLA INC. DL -,001  | US88160R1014   |    12.000000
SCALABLE_CAPITAL   | STOCK      | UBER TECH. DL-,00001 | US90353T1007   |     6.000000
--- TRADEREPUBLIC ---
TRADEREPUBLIC      | STOCK      | DE0005313704         | DE0005313704   |     3.000000
TRADEREPUBLIC      | STOCK      | FR0000121329         | FR0000121329   |     1.000000
TRADEREPUBLIC      | STOCK      | KYG017191142         | KYG017191142   |     5.000000
TRADEREPUBLIC      | STOCK      | NL0010273215         | NL0010273215   |     2.000000
TRADEREPUBLIC      | STOCK      | NL0011585146         | NL0011585146   |     1.000000
