BROKER             | ASSET      | TICKER               | ISIN           | CUR |    AVG_PRC |          QTY
BINANCE            | CRYPTO     | SBTC                 | ---            | EUR |     0.0000 |     0.000168
BINANCE            | CRYPTO     | SHELL                | ---            | EUR |     0.2546 |     1.968073
BINANCE            | CRYPTO     | SIGN                 | ---            | EUR |     0.0932 |     0.000095
BINANCE            | CRYPTO     | SOMI                 | ---            | EUR |     0.4137 |     2.344926
BINANCE            | CRYPTO     | SOPH                 | ---            | EUR |     0.0526 |    11.215392
BINANCE            | CRYPTO     | SPK                  | ---            | EUR |     0.0528 |    15.339774
BINANCE            | CRYPTO     | TON                  | ---            | EUR |     0.1687 |    10.375328
BINANCE            | CRYPTO     | TOWNS                | ---            | EUR |     0.0369 |    24.358736
BINANCE            | CRYPTO     | TREE                 | ---            | EUR |     0.4919 |     0.996130
BINANCE            | CRYPTO     | TURTLE               | ---            | EUR |     0.1617 |     0.804035
BINANCE            | CRYPTO     | W                    | ---            | EUR |     0.1096 |     1.136775
BINANCE            | CRYPTO     | WAL                  | ---            | EUR |     0.2047 |     2.540260
BINANCE            | CRYPTO     | XPL                  | ---            | EUR |     1.1247 |     5.974996
BINANCE            | CRYPTO     | YB                   | ---            | EUR |     0.5155 |     0.795308
BINANCE            | CRYPTO     | ZBT                  | ---            | EUR |     0.3162 |     1.201816
BINANCE            | CRYPTO     | ZKC                  | ---            | EUR |     0.7423 |     1.185578
--- IBKR ---
IBKR               | CURRENCY   | EUR                  | ---            | EUR |     0.0000 |   128.784322
IBKR               | STOCK      | 3CP                  | KYG9830T1067   | EUR |     6.1090 |    50.000000
IBKR               | STOCK      | RGTI                 | US76655K1034   | EUR |    36.3903 |     3.000000
--- REVOLUT ---
REVOLUT            | COMMODITY  | XAG                  | ---            | XAG |     0.0339 |     3.387456
REVOLUT            | COMMODITY  | XAU                  | ---            | XAU |     0.0009 |     0.193980
REVOLUT            | CRYPTO     | 1INCH                | ---            | EUR |     0.0000 |     4.968716
REVOLUT            | CRYPTO     | AVAX                 | ---            | EUR |     0.0000 |     0.038601
REVOLUT            | CRYPTO     | BTC                  | ---            | EUR |     0.0000 |     0.001390
REVOLUT            | CRYPTO     | DOT                  | ---            | EUR |     0.0000 |    15.580059
REVOLUT            | CRYPTO     | ETH                  | ---            | EUR |     0.0000 |     0.009166
REVOLUT            | CRYPTO     | MANA                 | ---            | EUR |     0.0000 |     6.896549
